@relation punches

@attribute high_g_x_mean numeric
@attribute high_g_y_mean numeric
@attribute high_g_z_mean numeric
@attribute low_g_x_mean numeric
@attribute low_g_y_mean numeric
@attribute low_g_z_mean numeric
@attribute gyro_x_mean numeric
@attribute gyro_y_mean numeric
@attribute gyro_z_mean numeric
@attribute high_g_x_var numeric
@attribute high_g_y_var numeric
@attribute high_g_z_var numeric
@attribute low_g_x_var numeric
@attribute low_g_y_var numeric
@attribute low_g_z_var numeric
@attribute gyro_x_var numeric
@attribute gyro_y_var numeric
@attribute gyro_z_var numeric
@attribute high_g_x_skew numeric
@attribute high_g_y_skew numeric
@attribute high_g_z_skew numeric
@attribute low_g_x_skew numeric
@attribute low_g_y_skew numeric
@attribute low_g_z_skew numeric
@attribute gyro_x_skew numeric
@attribute gyro_y_skew numeric
@attribute gyro_z_skew numeric
@attribute high_g_x_kurt numeric
@attribute high_g_y_kurt numeric
@attribute high_g_z_kurt numeric
@attribute low_g_x_kurt numeric
@attribute low_g_y_kurt numeric
@attribute low_g_z_kurt numeric
@attribute gyro_x_kurt numeric
@attribute gyro_y_kurt numeric
@attribute gyro_z_kurt numeric
@attribute punch_type {jab, hook, uppercut}

@data
-0.666666666667,3.24305555556,2.76736111111,-4.19791666667,14.1111111111,12.3263888889,1.33333333333,17.7430555556,1.33333333333,40.1875,8.92009066358,13.5743513696,724.374023438,295.202932099,663.574025849,1694.40972222,5596.95481289,1694.40972222,28.7155095793,-3.07042161736,3.95537417907,-33.3541039186,3.23979573681,-15.7179332961,-14.2908987016,20.6482203625,-14.2908987016,26.0705076093,14.1005426292,3.8562331382,14.6019331172,10.787322481,8.63482617824,3.67936616942,1.8489962435,3.67936616942,uppercut
-0.819620253165,3.02215189873,2.41772151899,0.25,11.2753164557,11.7879746835,-15.5443037975,19.9018987342,-15.5443037975,17.0972099824,10.9773573946,12.9963948085,452.307753165,439.971669204,432.692387037,1191.13411312,6388.75303437,1191.13411312,21.2450715358,4.32042794936,-2.61064815538,8.33325553175,5.9588829419,-0.604985985814,13.4683698688,14.3910961444,13.4683698688,34.2124184235,26.2510146559,12.0465880345,24.8368130347,19.7364927405,8.77970375631,4.4834581228,1.49843520766,4.4834581228,uppercut
-1.14552238806,2.55970149254,1.98694029851,-2.56902985075,9.73320895522,8.09141791045,-9.9197761194,-17.9048507463,-9.9197761194,14.0086739808,4.97404767209,5.74423242927,312.275085626,137.826210598,232.881568139,666.002892487,4990.06370781,666.002892487,26.7037241634,-2.29519105957,5.76323147684,-65.0959897085,18.4771305858,-6.33798741931,-14.9735930114,87.5627823449,-14.9735930114,64.4055546963,56.4368125151,20.2966205002,37.1178708535,39.4880947542,20.8856637051,6.99615881935,3.07423670696,6.99615881935,uppercut
-1.37644341801,2.68822170901,2.57967667436,-5.76905311778,10.2933025404,13.4457274827,-9.53348729792,-5.15242494226,-9.53348729792,32.4795374662,4.2191915259,9.84642299015,621.253822891,111.241918193,360.676615695,1377.91631509,4705.68577357,1377.91631509,29.2179988093,-0.637365450115,0.160131498645,-17.7263120778,2.62230469235,22.6749452073,-5.50913259141,60.6876105256,-5.50913259141,34.7228999761,9.45631192018,8.37792808323,16.8024771917,4.97782049131,6.36468464268,3.53554288609,2.75459330312,3.53554288609,uppercut
-1.01650165017,2.88778877888,2.50495049505,-6.57425742574,11.495049505,13.4851485149,-22.5247524752,29.6633663366,-22.5247524752,37.5211798408,14.5088607871,19.1080613012,513.907852171,493.372087704,566.989053361,2327.59592197,7466.73156227,2327.59592197,33.9541211478,-15.0953450218,-11.0166224417,-75.1611605674,-25.5012542294,-2.78552754412,12.9014025591,-10.5974213614,12.9014025591,34.8884504989,48.6222931792,27.4072162484,24.5168512839,23.8004460627,6.62419339906,3.20038020448,1.52136365447,3.20038020448,uppercut
-0.951171875,2.662109375,1.9609375,-0.064453125,10.166015625,9.044921875,-8.80078125,-9.265625,-8.80078125,13.6362876892,4.48153305054,5.52191162109,308.05639267,146.638454437,194.73431015,1373.86265564,6574.39038086,1373.86265564,26.610786228,-1.58124281189,1.43794655524,-10.0627332503,23.7083489623,23.7993406348,0.59726649385,35.9346797896,0.59726649385,67.9608295574,24.3700704414,12.5319277284,36.185008005,32.983708123,10.2972779174,4.65926129811,1.96133267678,4.65926129811,uppercut
-1.82524271845,2.45388349515,2.33495145631,-4.98058252427,8.76213592233,11.1189320388,1.8713592233,-13.4077669903,1.8713592233,15.7558676595,3.40321307381,5.04800169667,448.839428787,111.623032331,205.886340607,1447.84510204,6134.75120181,1447.84510204,17.6171514553,-2.46078949179,2.33142676157,-2.34187835015,-7.93836547027,20.8442961995,4.04763007508,66.3459543336,4.04763007508,29.1642791076,15.542072575,4.25791924413,18.6874615636,18.5364159023,6.59014502736,4.47586197031,2.25794344807,4.47586197031,uppercut
-1.81088825215,2.95415472779,2.44126074499,-7.32664756447,11.8280802292,11.676217765,5.4899713467,-7.79656160458,5.4899713467,27.2479043686,5.91193832563,8.96861273717,731.962069277,177.311417804,371.525537557,2045.0923063,5714.10474462,2045.0923063,19.1399312729,-0.160542272314,1.84467703197,-6.09179105649,15.6610952164,-1.58766476176,-38.5276664597,67.7755578745,-38.5276664597,21.585153572,10.9266289191,7.33248831442,11.8901182392,8.35877669217,12.4395581258,3.96208927365,2.30301602161,3.96208927365,uppercut
-1.41558441558,2.75974025974,2.00649350649,-4.97077922078,10.7532467532,9.91883116883,-12.1980519481,20.7922077922,-12.1980519481,19.2753415416,10.4357817507,7.48047731489,504.606289003,302.296255692,250.016138894,1043.54843776,5916.58019902,1043.54843776,21.6149664495,-1.95832273365,3.51423130837,-24.4088228027,30.9506245741,34.3994409521,3.42692803597,15.0264974991,3.42692803597,30.838832933,37.727533123,16.6457610633,21.7637735982,28.4167045799,12.4218646413,4.41870552554,1.70868335941,4.41870552554,uppercut
-1.64611260054,2.74262734584,2.30831099196,-7.66756032172,10.5308310992,9.75335120643,-10.9946380697,-3.04289544236,-10.9946380697,24.9685974887,6.29837057695,14.5564188631,551.16026134,200.157896628,508.298413702,1011.28147259,5236.22336105,1011.28147259,24.0539885257,3.48542350033,-3.67843161649,-40.074468265,35.6886588178,-44.6603468688,-12.1067780803,73.0565579963,-12.1067780803,29.4137409555,15.0643627853,31.8382976798,19.9049453974,20.5860902391,15.8302673899,6.37504426564,2.4293208514,6.37504426564,uppercut
