-23,3,-3,1,1,-11,0,0,8,47,8,11.0,
-21,3,-4,1,1,-12,0,0,6,48,6,12.0,
-17,3,-3,2,1,-13,0,0,3,50,3,13.0,
-15,3,-3,1,1,-13,0,0,1,52,1,13.0,
-13,3,-4,1,1,-14,0,0,-1,54,-1,14.0,
-11,3,-3,1,1,-14,0,1,-3,56,-3,14.035668847618199,
-9,3,-3,1,0,-15,0,1,-7,59,-7,15.033296378372908,
-7,3,-4,1,1,-16,0,1,-10,62,-10,16.0312195418814,
-5,3,-3,2,2,-16,0,1,-12,65,-12,16.0312195418814,
-3,3,-4,1,1,-16,0,1,-16,67,-16,16.0312195418814,
0,3,-4,1,1,-17,0,1,-18,70,-18,17.029386365926403,
2,3,-5,1,1,-18,0,2,-22,73,-22,18.110770276274835,
4,3,-5,2,1,-18,0,2,-25,76,-25,18.110770276274835,
6,3,-5,1,1,-19,0,2,-27,78,-27,19.1049731745428,
8,3,-5,1,1,-19,0,2,-30,81,-30,19.1049731745428,
10,3,-5,1,1,-20,0,2,-32,83,-32,20.09975124224178,
14,3,-5,1,1,-21,0,2,-36,87,-36,21.095023109728988,
16,3,-5,1,1,-22,0,3,-38,89,-38,22.20360331117452,
18,3,-4,1,1,-22,0,3,-40,91,-40,22.20360331117452,
20,3,-5,1,1,-23,0,3,-42,93,-42,23.194827009486403,
22,3,-6,1,2,-24,-1,3,-43,95,-43,24.20743687382041,
24,3,-5,1,2,-25,-1,3,-45,98,-45,25.199206336708304,
26,3,-6,0,1,-26,-1,3,-46,99,-46,26.19160170741759,
28,3,-6,1,2,-27,-1,4,-47,101,-47,27.313000567495326,
30,3,-6,0,1,-29,-1,4,-47,103,-47,29.29163703175362,
32,3,-6,1,2,-30,-1,4,-47,105,-47,30.28200785945344,
34,3,-7,1,1,-31,-1,4,-46,108,-46,31.272991542223778,
36,3,-6,1,1,-33,-1,4,-45,110,-45,33.25657829663178,
38,3,-7,2,2,-34,0,4,-44,113,-44,34.23448553724738,
40,3,-8,1,2,-35,0,4,-42,116,-42,35.22782990761707,
45,3,-8,1,1,-36,0,4,-39,119,-39,36.22154055254967,
47,3,-7,1,1,-38,0,4,-35,124,-35,38.2099463490856,
49,3,-8,1,1,-39,0,4,-32,127,-32,39.20459156782532,
51,3,-8,1,2,-40,0,4,-29,127,-29,40.19950248448356,
53,3,-8,2,2,-41,0,4,-25,127,-25,41.19465984809196,
55,3,-8,1,2,-42,0,4,-21,127,-21,42.190046219457976,
57,3,-8,1,1,-43,0,4,-15,127,-15,43.18564576337837,
59,3,-8,2,2,-44,0,4,-10,127,-10,44.181444068749045,
61,3,-9,1,1,-44,0,4,-6,127,-6,44.181444068749045,
63,3,-9,1,1,-45,-1,4,-2,127,-2,45.18849411078001,
65,3,-9,1,1,-46,-1,4,1,127,1,46.184412955021955,
67,3,-8,1,1,-46,-1,4,6,127,6,46.184412955021955,
69,3,-9,1,1,-47,-1,4,9,127,9,47.18050444834179,
71,3,-9,1,2,-47,-1,4,12,127,12,47.18050444834179,
73,3,-9,1,2,-47,-2,4,14,127,14,47.21228653645151,
77,3,-9,1,1,-47,-2,4,16,127,16,47.21228653645151,
79,3,-9,1,1,-47,-2,4,18,127,18,47.21228653645151,
81,3,-9,1,2,-47,-2,4,18,127,18,47.21228653645151,
83,3,-9,1,1,-47,-2,4,18,127,18,47.21228653645151,
86,3,-9,1,2,-47,-2,3,18,127,18,47.138094997570704,
88,3,-9,1,1,-47,-2,3,17,127,17,47.138094997570704,
90,3,-8,1,1,-46,-3,3,14,127,14,46.195237849804386,
92,3,-8,0,1,-46,-3,4,12,127,12,46.2709412050371,
94,3,-8,1,1,-45,-4,4,10,127,10,45.35416188179427,
96,3,-7,0,1,-44,-4,4,7,127,7,44.36214602563767,
98,3,-8,1,1,-44,-4,5,4,127,4,44.46346815083142,
100,3,-8,0,2,-43,-5,5,0,127,0,43.57751713900185,
102,3,-7,0,1,-42,-6,6,-2,127,-2,42.8485705712571,
104,3,-8,-1,2,-42,-6,6,-6,127,-6,42.8485705712571,
106,3,-7,0,2,-41,-7,6,-9,127,-9,42.02380277890139,
108,3,-8,0,2,-41,-8,7,-13,127,-13,42.35563716909474,
112,3,-7,-1,3,-40,-9,8,-19,127,-19,41.773197148410844,
114,3,-7,-1,2,-40,-9,9,-23,127,-23,41.97618372363071,
116,3,-7,-1,2,-39,-10,10,-26,127,-26,41.48493702538308,
118,3,-8,-1,3,-39,-11,11,-30,127,-30,41.98809355043403,
120,3,-9,-1,2,-39,-12,12,-33,127,-33,42.532340636273474,
122,3,-8,-2,2,-39,-13,13,-37,127,-37,43.116122274620196,
124,3,-7,-2,2,-40,-13,14,-39,127,-39,44.328320518603,
126,3,-8,-1,3,-41,-14,15,-40,127,-40,45.8475735453906,
63,3,-8,-1,3,-41,-14,15,-41,127,-41,45.8475735453906,
-125,3,-8,-2,3,-42,-14,16,-40,127,-40,47.07440918375928,
-123,3,-8,-2,4,-42,-14,16,-35,127,-35,47.07440918375928,
-121,3,-8,-1,5,-42,-14,17,-29,127,-29,47.4236228055175,
-119,3,-8,-2,4,-42,-13,17,-21,127,-21,47.138094997570704,
-117,3,-8,-2,4,-42,-13,17,-11,127,-11,47.138094997570704,
63,3,-7,-2,4,-41,-13,17,0,127,0,46.24932431938871,
-111,3,-8,-2,4,-40,-13,17,20,127,20,45.36518488885502,
-109,3,-8,-2,4,-39,-13,17,37,127,37,44.48595283907045,
-107,3,-8,-2,4,-38,-12,16,55,127,55,42.941821107167776,
-105,3,-7,-2,3,-37,-12,16,74,127,74,42.05948168962618,
-103,3,-7,-1,3,-36,-12,15,94,127,94,40.80441152620633,
-101,3,-6,-1,4,-34,-11,14,-128,127,-128,38.379682124790975,
63,3,-6,-3,2,-31,-12,13,-128,127,-128,35.6931365951495,
