-7,3,-2,2,2,-6,5,8,63,-47,63,11.180339887498949,
-5,3,-3,2,2,-6,5,8,63,-48,63,11.180339887498949,
-3,3,-3,3,2,-7,5,8,63,-48,63,11.74734012447073,
0,3,-3,2,2,-8,5,8,63,-48,63,12.36931687685298,
2,3,-2,2,2,-8,6,8,63,-47,63,12.806248474865697,
4,3,-3,3,2,-9,6,8,63,-47,63,13.45362404707371,
6,3,-3,3,2,-9,6,9,63,-46,63,14.071247279470288,
8,3,-3,2,2,-10,6,9,63,-44,63,14.730919862656235,
10,3,-4,3,2,-11,7,9,63,-42,63,15.84297951775486,
12,3,-3,3,2,-11,7,9,63,-39,63,15.84297951775486,
16,3,-3,3,2,-12,8,9,63,-37,63,17.0,
18,3,-3,3,3,-13,8,9,63,-34,63,17.72004514666935,
20,3,-3,3,2,-13,9,9,63,-31,63,18.193405398660254,
22,3,-4,3,2,-14,10,9,63,-26,63,19.4164878389476,
24,3,-4,3,2,-14,10,9,63,-23,63,19.4164878389476,
26,3,-4,3,2,-15,11,10,63,-20,63,21.118712081942874,
28,3,-4,3,2,-15,11,10,63,-16,63,21.118712081942874,
30,3,-3,4,2,-16,11,10,63,-14,63,21.840329667841555,
32,3,-4,4,3,-16,12,10,63,-9,63,22.360679774997898,
34,3,-3,3,2,-17,12,10,63,-7,63,23.08679276123039,
36,3,-4,3,2,-17,12,11,63,-4,63,23.53720459187964,
38,3,-4,4,2,-17,13,11,63,-2,63,24.06241883103193,
40,3,-4,4,2,-18,13,11,63,0,63,24.779023386727733,
43,3,-5,3,2,-18,13,11,63,2,63,24.779023386727733,
45,3,-4,3,2,-18,13,11,63,4,63,24.779023386727733,
47,3,-4,4,2,-19,13,11,63,7,63,25.514701644346147,
51,3,-4,4,2,-19,14,11,63,9,63,26.038433132583073,
53,3,-4,4,3,-19,14,11,63,11,63,26.038433132583073,
55,3,-5,4,3,-20,14,11,63,15,63,26.77685567799177,
57,3,-5,3,3,-20,14,11,63,18,63,26.77685567799177,
59,3,-4,3,2,-20,14,11,63,21,63,26.77685567799177,
61,3,-5,4,2,-21,14,11,63,24,63,27.53179979587241,
63,3,-4,4,2,-21,14,11,63,28,63,27.53179979587241,
65,3,-5,4,2,-21,15,11,63,35,63,28.053520278211074,
67,3,-5,4,3,-22,15,11,63,39,63,28.809720581775867,
69,3,-5,3,2,-22,15,11,63,44,63,28.809720581775867,
71,3,-5,4,3,-22,15,11,63,48,63,28.809720581775867,
73,3,-5,4,3,-22,15,11,63,53,63,28.809720581775867,
75,3,-5,4,3,-22,16,12,63,60,63,29.732137494637012,
77,3,-5,4,2,-23,16,12,63,64,63,30.479501308256342,
79,3,-5,5,3,-23,16,12,63,69,63,30.479501308256342,
83,3,-5,4,3,-23,17,13,-126,73,-126,31.416556144810016,
